"This is the genealogy of Jesus the Messiah the son of David, the son of Abraham","Registro genealógico de Jesucristo, hijo de David y de Abraham","Buch des Geschlechts Jesu Christi, des Sohnes Davids, des Sohnes Abrahams."
"Thus there were fourteen generations in all from Abraham to David, fourteen from David to the exile to Babylon, and fourteen from the exile to the Messiah.","Así que hubo en total catorce generaciones desde Abraham hasta David, catorce desde David hasta la deportación a Babilonia, y catorce desde la deportación hasta el Cristo.","So sind nun alle Geschlechter von Abraham bis auf David vierzehn Geschlechter, und von David bis zur Wegführung nach Babylon vierzehn Geschlechter, und von der Wegführung nach Babylon bis auf den Christus vierzehn Geschlechter."
"When Joseph woke up, he did what the angel of the Lord had commanded him and took Mary home as his wife.","Cuando José se despertó, hizo lo que el ángel del Señor le había mandado y recibió a María por esposa.","Joseph aber, vom Schlafe erwacht, tat, wie ihm der Engel des Herrn befohlen hatte, und nahm sein Weib zu sich"
"But he did not consummate their marriage until she gave birth to a son. And he gave him the name Jesus.","Pero no tuvo relaciones conyugales con ella hasta que dio a luz un hijo, a quien le puso por nombre Jesús.","und er erkannte sie nicht, bis sie ihren erstgeborenen Sohn geboren hatte; und er hieß seinen Namen Jesus."
"When King Herod heard this he was disturbed, and all Jerusalem with him.","Cuando lo oyó, el rey Herodes se turbó y toda Jerusalén con él.","Als aber der König Herodes es hörte, wurde er bestürzt, und ganz Jerusalem mit ihm"
"When he had called together all the people’s chief priests and teachers of the law, he asked them where the Messiah was to be born","Así que convocó a todos los jefes de los sacerdotes y maestros de la Ley de su pueblo para preguntarles dónde había de nacer el Cristo.","und er versammelte alle Hohenpriester und Schriftgelehrten des Volkes und erkundigte sich bei ihnen, wo der Christus geboren werden solle."
"Then Herod called the Magi secretly and found out from them the exact time the star had appeared.","Luego Herodes llamó en secreto a los sabios y se enteró por ellos del tiempo exacto en que había aparecido la estrella.","Dann berief Herodes die Magier heimlich und erforschte genau von ihnen die Zeit der Erscheinung des Sternes."
"After they had heard the king, they went on their way, and the star they had seen when it rose went ahead of them until it stopped over the place where the child was.","Después de oír al rey, siguieron su camino. Sucedió que la estrella que habían visto levantarse iba delante de ellos hasta que se detuvo sobre el lugar donde estaba el niño.","Sie aber, als sie den König gehört hatten, zogen hin. Und siehe, der Stern, den sie im Morgenlande gesehen hatten, ging vor ihnen her, bis er kam und oben über dem Orte stand, wo das Kindlein war."
"When they saw the star, they were overjoyed.","Al ver la estrella, sintieron muchísima alegría.","Als sie aber den Stern sahen, freuten sie sich mit sehr großer Freude."
"So he got up, took the child and his mother and went to the land of Israel.","Así que se levantó José, tomó al niño y a su madre, y regresó a la tierra de Israel.","Und er stand auf und nahm das Kindlein und seine Mutter zu sich, und er kam in das Land Israel."
"John’s clothes were made of camel’s hair, and he had a leather belt around his waist. His food was locusts and wild honey.","La ropa de Juan estaba hecha de pelo de camello. Llevaba puesto un cinturón de cuero y se alimentaba de langostas y miel silvestre.","Er aber, Johannes, hatte seine Kleidung von Kamelhaaren und einen ledernen Gürtel um seine Lenden; seine Speise aber war Heuschrecken und wilder Honig."
"People went out to him from Jerusalem and all Judea and the whole region of the Jordan.","Acudía a él la gente de Jerusalén, de toda Judea y de toda la región del Jordán.","Da ging zu ihm hinaus Jerusalem und ganz Judäa und die ganze Umgegend des Jordan."
"Confessing their sins, they were baptized by him in the Jordan River.","Cuando confesaban sus pecados, él los bautizaba en el río Jordán.","und sie wurden von ihm im Jordan getauft, indem sie ihre Sünden bekannten."
"The ax is already at the root of the trees, and every tree that does not produce good fruit will be cut down and thrown into the fire.","El hacha ya está puesta a la raíz de los árboles y todo árbol que no produzca buen fruto será cortado y arrojado al fuego.","Schon ist aber die Axt an die Wurzel der Bäume gelegt; jeder Baum nun, der nicht gute Frucht bringt, wird abgehauen und ins Feuer geworfen."
"Then Jesus came from Galilee to the Jordan to be baptized by John.","Un día Jesús fue de Galilea al Jordán para que Juan lo bautizara.","Dann kommt Jesus aus Galiläa an den Jordan zu Johannes, um von ihm getauft zu werden."
"As soon as Jesus was baptized, he went up out of the water.","Tan pronto como Jesús fue bautizado, subió del agua.","Und als Jesus getauft war, stieg er alsbald von dem Wasser herauf."
"Then Jesus was led by the Spirit into the wilderness to be tempted by the devil.","Luego el Espíritu llevó a Jesús al desierto para ser tentado por el diablo.","Dann wurde Jesus von dem Geiste in die Wüste hinaufgeführt, um von dem Teufel versucht zu werden."
"After fasting forty days and forty nights, he was hungry.","Después de ayunar cuarenta días y cuarenta noches, tuvo hambre.","und als er vierzig Tage und vierzig Nächte gefastet hatte, hungerte ihn danach."
"Then the devil took him to the holy city and had him stand on the highest point of the temple.","Luego el diablo lo llevó a la ciudad santa e hizo que se pusiera de pie sobre la parte más alta del Templo","Dann nimmt der Teufel ihn mit in die heilige Stadt und stellt ihn auf die Zinne des Tempels"
"Again, the devil took him to a very high mountain and showed him all the kingdoms of the world and their splendor.","De nuevo el diablo lo llevó a una montaña muy alta. Allí le mostró todos los reinos del mundo y su esplendor.","Wiederum nimmt der Teufel ihn mit auf einen sehr hohen Berg und zeigt ihm alle Reiche der Welt und ihre Herrlichkeit und spricht zu ihm."
"Then the devil left him, and angels came and attended him.","Entonces el diablo lo dejó y ángeles acudieron a servirle.","Dann verläßt ihn der Teufel, und siehe, Engel kamen herzu und dienten ihm."
"When Jesus heard that John had been put in prison, he withdrew to Galilee.","Cuando Jesús oyó que habían encarcelado a Juan, regresó a Galilea.","Als er aber gehört hatte, daß Johannes überliefert worden war, entwich er nach Galiläa."
"At once they left their nets and followed him.","Al instante dejaron las redes y lo siguieron.","Sie aber verließen alsbald die Netze und folgten ihm nach."
"Large crowds from Galilee, the Decapolis, Jerusalem, Judea and the region across the Jordan followed him.","Lo seguían grandes multitudes de Galilea, Decápolis, Jerusalén, Judea y de la región al otro lado del Jordán.","Und es folgten ihm große Volksmengen von Galiläa und Dekapolis und Jerusalem und Judäa und von jenseit des Jordan."
"When Jesus came down from the mountainside, large crowds followed him.","Cuando Jesús bajó de la montaña, lo siguieron grandes multitudes.","Als er aber von dem Berge herabgestiegen war, folgten ihm große Volksmengen."
"When Jesus had entered Capernaum, a centurion came to him, asking for help.","Al entrar Jesús en Capernaúm, se acercó a él un centurión pidiendo ayuda.","Als er aber in Kapernaum eintrat, kam ein Hauptmann zu ihm, der ihn bat und sprach."
"When Jesus came into Peter’s house, he saw Peter’s mother-in-law lying in bed with a fever.","Cuando Jesús entró en casa de Pedro, vio a la suegra de este en cama con fiebre.","Und als Jesus in das Haus des Petrus gekommen war, sah er dessen Schwiegermutter fieberkrank daniederliegen."
"He touched her hand and the fever left her, and she got up and began to wait on him.","Él le tocó la mano y la fiebre se le quitó; luego ella se levantó y comenzó a servirle.","Und er rührte ihre Hand an, und das Fieber verließ sie; und sie stand auf und diente ihm."
"When Jesus saw the crowd around him, he gave orders to cross to the other side of the lake.","Cuando Jesús vio a la multitud que lo rodeaba, dio la orden de pasar al otro lado del lago.","Als aber Jesus eine große Volksmenge um sich sah, befahl er, an das jenseitige Ufer hinwegzufahren."
"Then he got into the boat and his disciples followed him.","Luego subió a la barca y sus discípulos lo siguieron.","Und als er in das Schiff gestiegen war, folgten ihm seine Jünger."
"Jesus stepped into a boat, crossed over and came to his own town.","Subió Jesús a una barca, cruzó al otro lado y llegó a su propio pueblo.","Und er stieg in das Schiff, setzte über und kam in seine eigene Stadt."
"While Jesus was having dinner at Matthew’s house, many tax collectors and sinners came and ate with him and his disciples.","Mientras Jesús estaba a la mesa en casa de Mateo, muchos recaudadores de impuestos y pecadores llegaron y comieron con él y sus discípulos.","Und es geschah, als er in dem Hause zu Tische lag, siehe, da kamen viele Zöllner und Sünder und lagen zu Tische mit Jesu und seinen Jüngern."
"Jesus got up and went with him, and so did his disciples.","Jesús se levantó y fue con él, acompañado de sus discípulos.","Und Jesus stand auf und folgte ihm, und seine Jünger."
"While they were going out, a man who was demon-possessed and could not talk was brought to Jesus.","Mientras ellos salían, le llevaron un mudo endemoniado.","Als sie aber weggingen, siehe, da brachten sie einen stummen Menschen zu ihm, der besessen war."
"Jesus called his twelve disciples to him and gave them authority to drive out impure spirits and to heal every disease and sickness.","Reunió a sus doce discípulos y les dio autoridad para expulsar a los espíritus malignos y sanar toda enfermedad y toda dolencia.","Und als er seine zwölf Jünger herzugerufen hatte, gab er ihnen Gewalt über unreine Geister, um sie auszutreiben, und jede Krankheit und jedes Gebrechen zu heilen."
"After Jesus had finished instructing his twelve disciples, he went on from there to teach and preach in the towns of Galilee.","Cuando Jesús terminó de dar instrucciones a sus doce discípulos, se fue de allí a enseñar y a predicar en otros pueblos.","Und es geschah, als Jesus seine Befehle an seine zwölf Jünger vollendet hatte, ging er von dannen hinweg, um in ihren Städten zu lehren und zu predigen."
"Then Jesus began to denounce the towns in which most of his miracles had been performed, because they did not repent.","Entonces comenzó Jesús a denunciar a las ciudades en que había hecho la mayor parte de sus milagros, porque no se habían arrepentido.","Dann fing er an, die Städte zu schelten, in welchen seine meisten Wunderwerke geschehen waren, weil sie nicht Buße getan hatten."
"But the Pharisees went out and plotted how they might kill Jesus.","Pero los fariseos salieron y tramaban cómo matar a Jesús.","Die Pharisäer aber gingen hinaus und hielten Rat wider ihn, wie sie ihn umbrächten."
